[predict] рецепт: порог=0.6011 по «top1», TTA flip=False, быстрый декод=True, DBA k=0, k-reciprocal=True (6/2)
[predict] запросов 1110, галерея 750
extract[query]: 100%|██████████| 35/35 [00:10<00:00,  5.30batch/s]
extract[query]: 100%|██████████| 35/35 [00:10<00:00,  3.33batch/s]
[extract] query: 9.5 мс/кроп всего = 6.3 сеть + 3.2 чтение кадров с диска

extract[gallery]:   0%|          | 0/24 [00:00<?, ?batch/s]
extract[gallery]:   4%|▍         | 1/24 [00:01<00:30,  1.34s/batch]
extract[gallery]:   8%|▊         | 2/24 [00:01<00:14,  1.53batch/s]
extract[gallery]:  12%|█▎        | 3/24 [00:01<00:09,  2.25batch/s]
extract[gallery]:  17%|█▋        | 4/24 [00:01<00:06,  3.01batch/s]
extract[gallery]:  21%|██        | 5/24 [00:02<00:06,  2.82batch/s]
extract[gallery]:  25%|██▌       | 6/24 [00:02<00:05,  3.33batch/s]
extract[gallery]:  29%|██▉       | 7/24 [00:02<00:04,  3.59batch/s]
extract[gallery]:  33%|███▎      | 8/24 [00:02<00:03,  4.11batch/s]
extract[gallery]:  38%|███▊      | 9/24 [00:03<00:04,  3.69batch/s]
extract[gallery]:  42%|████▏     | 10/24 [00:03<00:03,  4.26batch/s]
extract[gallery]:  46%|████▌     | 11/24 [00:03<00:02,  4.83batch/s]
extract[gallery]:  50%|█████     | 12/24 [00:03<00:02,  5.04batch/s]
extract[gallery]:  54%|█████▍    | 13/24 [00:04<00:02,  3.98batch/s]
extract[gallery]:  58%|█████▊    | 14/24 [00:04<00:02,  4.53batch/s]
extract[gallery]:  62%|██████▎   | 15/24 [00:04<00:01,  5.07batch/s]
extract[gallery]:  67%|██████▋   | 16/24 [00:04<00:01,  5.54batch/s]
extract[gallery]:  71%|███████   | 17/24 [00:04<00:01,  3.83batch/s]
extract[gallery]:  75%|███████▌  | 18/24 [00:05<00:01,  4.43batch/s]
extract[gallery]:  79%|███████▉  | 19/24 [00:05<00:00,  5.03batch/s]
extract[gallery]:  83%|████████▎ | 20/24 [00:05<00:00,  5.13batch/s]
extract[gallery]:  88%|████████▊ | 21/24 [00:05<00:00,  3.69batch/s]
extract[gallery]:  92%|█████████▏| 22/24 [00:06<00:00,  4.06batch/s]
extract[gallery]:  96%|█████████▌| 23/24 [00:06<00:00,  4.37batch/s]
extract[gallery]: 100%|██████████| 24/24 [00:06<00:00,  3.78batch/s]
[extract] gallery: 8.5 мс/кроп всего = 5.2 сеть + 3.2 чтение кадров с диска
[predict] эмбеддинги: 1860 кропов за 16.9 с = 110.3 кроп/с
[submit] embeddings.npy (1860, 1536) → /out/embeddings.npy
[submit] submission.csv (1110 запросов, top-10) → /out/submission.csv
[submit] candidates.csv: отказов 92/1110 → /out/candidates.csv
[predict] готово за 25.4 с → /out
